id,article_id,article_code,owner_id,owner_kind,exception_type,text,normalized_text
exception_clause_article_7_clause_2,article_7,7,article_7_clause_2,Clause,exemption_or_exception,"Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",dieu luat quy dinh mot toi pham moi mot hinh phat nang hon mot tinh tiet tang nang moi hoac han che pham vi ap dung an treo mien trach nhiem hinh su loai tru trach nhiem hinh su mien hinh phat giam hinh phat xoa an tich va quy dinh khac khong co loi cho nguoi pham toi thi khong duoc ap dung doi voi hanh vi pham toi da thuc hien truoc khi dieu luat do co hieu luc thi hanh
exception_clause_article_7_clause_3,article_7,7,article_7_clause_3,Clause,exemption_or_exception,"Điều luật xóa bỏ một tội phạm, một hình phạt, một tình tiết tăng nặng, quy định một hình phạt nhẹ hơn, một tình tiết giảm nhẹ mới hoặc mở rộng phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, tha tù trước thời hạn có điều kiện, xóa án tích và quy định khác có lợi cho người phạm tội, thì được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành.",dieu luat xoa bo mot toi pham mot hinh phat mot tinh tiet tang nang quy dinh mot hinh phat nhe hon mot tinh tiet giam nhe moi hoac mo rong pham vi ap dung an treo mien trach nhiem hinh su loai tru trach nhiem hinh su mien hinh phat giam hinh phat tha tu truoc thoi han co dieu kien xoa an tich va quy dinh khac co loi cho nguoi pham toi thi duoc ap dung doi voi hanh vi pham toi da thuc hien truoc khi dieu luat do co hieu luc thi hanh
exception_clause_article_8_clause_2,article_8,8,article_8_clause_2,Clause,exemption_or_exception,Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì không phải là tội phạm và được xử lý bằng các biện pháp khác.,nhung hanh vi tuy co dau hieu cua toi pham nhung tinh chat nguy hiem cho xa hoi khong dang ke thi khong phai la toi pham va duoc xu ly bang cac bien phap khac
exception_clause_article_14_clause_1,article_14,14,article_14_clause_1,Clause,exemption_or_exception,"Chuẩn bị phạm tội là tìm kiếm, sửa soạn công cụ, phương tiện hoặc tạo ra những điều kiện khác để thực hiện tội phạm hoặc thành lập, tham gia nhóm tội phạm, trừ trường hợp thành lập hoặc tham gia nhóm tội phạm quy định tại Điều 109, điểm a khoản 2 Điều 113 hoặc điểm a khoản 2 Điều 299 của Bộ luật này.",chuan bi pham toi la tim kiem sua soan cong cu phuong tien hoac tao ra nhung dieu kien khac de thuc hien toi pham hoac thanh lap tham gia nhom toi pham tru truong hop thanh lap hoac tham gia nhom toi pham quy dinh tai dieu 109 diem a khoan 2 dieu 113 hoac diem a khoan 2 dieu 299 cua bo luat nay
exception_clause_article_16_clause_0,article_16,16,article_16_clause_0,Clause,exemption_or_exception,"Tự ý nửa chừng chấm dứt việc phạm tội là tự mình không thực hiện tội phạm đến cùng, tuy không có gì ngăn cản. Người tự ý nửa chừng chấm dứt việc phạm tội được miễn trách nhiệm hình sự về tội định phạm; nếu hành vi thực tế đã thực hiện có đủ yếu tố cấu thành của một tội khác, thì người đó phải chịu trách nhiệm hình sự về tội này.",tu y nua chung cham dut viec pham toi la tu minh khong thuc hien toi pham den cung tuy khong co gi ngan can nguoi tu y nua chung cham dut viec pham toi duoc mien trach nhiem hinh su ve toi dinh pham neu hanh vi thuc te da thuc hien co du yeu to cau thanh cua mot toi khac thi nguoi do phai chiu trach nhiem hinh su ve toi nay
exception_clause_article_17_clause_4,article_17,17,article_17_clause_4,Clause,exemption_or_exception,Người đồng phạm không phải chịu trách nhiệm hình sự về hành vi vượt quá của người thực hành.,nguoi dong pham khong phai chiu trach nhiem hinh su ve hanh vi vuot qua cua nguoi thuc hanh
exception_clause_article_18_clause_2,article_18,18,article_18_clause_2,Clause,exemption_or_exception,"Người che giấu tội phạm là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp che giấu các tội xâm phạm an ninh quốc gia hoặc tội đặc biệt nghiêm trọng khác quy định tại Điều 389 của Bộ luật này.",nguoi che giau toi pham la ong ba cha me con chau anh chi em ruot vo hoac chong cua nguoi pham toi khong phai chiu trach nhiem hinh su theo quy dinh tai khoan 1 dieu nay tru truong hop che giau cac toi xam pham an ninh quoc gia hoac toi dac biet nghiem trong khac quy dinh tai dieu 389 cua bo luat nay
exception_clause_article_19_clause_2,article_19,19,article_19_clause_2,Clause,exemption_or_exception,"Người không tố giác là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng.",nguoi khong to giac la ong ba cha me con chau anh chi em ruot vo hoac chong cua nguoi pham toi khong phai chiu trach nhiem hinh su theo quy dinh tai khoan 1 dieu nay tru truong hop khong to giac cac toi quy dinh tai chuong xiii cua bo luat nay hoac toi khac la toi pham dac biet nghiem trong
exception_clause_article_19_clause_3,article_19,19,article_19_clause_3,Clause,exemption_or_exception,"Người không tố giác là người bào chữa không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng do chính người mà mình bào chữa đang chuẩn bị, đang thực hiện hoặc đã thực hiện mà người bào chữa biết rõ khi thực hiện việc bào chữa.",nguoi khong to giac la nguoi bao chua khong phai chiu trach nhiem hinh su theo quy dinh tai khoan 1 dieu nay tru truong hop khong to giac cac toi quy dinh tai chuong xiii cua bo luat nay hoac toi khac la toi pham dac biet nghiem trong do chinh nguoi ma minh bao chua dang chuan bi dang thuc hien hoac da thuc hien ma nguoi bao chua biet ro khi thuc hien viec bao chua
exception_clause_article_20_clause_0,article_20,20,article_20_clause_0,Clause,exemption_or_exception,"Người thực hiện hành vi gây hậu quả nguy hại cho xã hội trong trường hợp không thể thấy trước hoặc không buộc phải thấy trước hậu quả của hành vi đó, thì không phải chịu trách nhiệm hình sự.",nguoi thuc hien hanh vi gay hau qua nguy hai cho xa hoi trong truong hop khong the thay truoc hoac khong buoc phai thay truoc hau qua cua hanh vi do thi khong phai chiu trach nhiem hinh su
