id,crime_id,article_id,article_code,requirement_type,text,normalized_text
actreq_crime_108_title_action_phan_boi_to_quoc,crime_108,article_108,108,title_action,phản bội Tổ quốc,phan boi to quoc
actreq_crime_109_title_action_hoat_dong_nham_lat_do_chinh_quyen_nhan_dan,crime_109,article_109,109,title_action,hoạt động nhằm lật đổ chính quyền nhân dân,hoat dong nham lat do chinh quyen nhan dan
actreq_crime_110_title_action_gian_diep,crime_110,article_110,110,title_action,gián điệp,gian diep
actreq_crime_111_title_action_xam_pham_an_ninh_lanh_tho,crime_111,article_111,111,title_action,xâm phạm an ninh lãnh thổ,xam pham an ninh lanh tho
actreq_crime_112_title_action_bao_loan,crime_112,article_112,112,title_action,bạo loạn,bao loan
actreq_crime_113_title_action_khung_bo_nham_chong_chinh_quyen_nhan_dan,crime_113,article_113,113,title_action,khủng bố nhằm chống chính quyền nhân dân,khung bo nham chong chinh quyen nhan dan
actreq_crime_114_title_action_pha_hoai_co_so_vat_chat_ky_thuat_cua_nuoc_cong_hoa_xa_hoi_chu_nghia_viet_nam,crime_114,article_114,114,title_action,phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam,pha hoai co so vat chat ky thuat cua nuoc cong hoa xa hoi chu nghia viet nam
actreq_crime_115_title_action_pha_hoai_viec_thuc_hien_cac_chinh_sach_kinh_te_xa_hoi,crime_115,article_115,115,title_action,phá hoại việc thực hiện các chính sách kinh tế - xã hội,pha hoai viec thuc hien cac chinh sach kinh te xa hoi
actreq_crime_116_title_action_pha_hoai_chinh_sach_doan_ket,crime_116,article_116,116,title_action,phá hoại chính sách đoàn kết,pha hoai chinh sach doan ket
actreq_crime_117_title_action_lam_tang_tru_phat_tan_hoac_tuyen_truyen_thong_tin_tai_lieu_vat_pham_nham_chong_nha_nuoc_cong_hoa_,crime_117,article_117,117,title_action,"làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",lam tang tru phat tan hoac tuyen truyen thong tin tai lieu vat pham nham chong nha nuoc cong hoa xa hoi chu nghia viet nam
