id,clause_id,article_id,article_code,clause_no,point,text,role,normalized_text
article_3_clause_1_point_a,article_3_clause_1,article_3,3,1,a,"Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",condition_or_rule,moi hanh vi pham toi do nguoi thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat
article_3_clause_1_point_b,article_3_clause_1,article_3,3,1,b,"Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;",condition_or_rule,moi nguoi pham toi deu binh dang truoc phap luat khong phan biet gioi tinh dan toc tin nguong ton giao thanh phan dia vi xa hoi
article_3_clause_1_point_c,article_3_clause_1,article_3,3,1,c,"Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;",condition_or_rule,nghiem tri nguoi chu muu cam dau chi huy ngoan co chong doi con do tai pham nguy hiem loi dung chuc vu quyen han de pham toi
article_3_clause_1_point_d,article_3_clause_1,article_3,3,1,d,"Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;",condition_or_rule,nghiem tri nguoi pham toi dung thu doan xao quyet co to chuc co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong khoan hong doi voi nguoi tu thu dau thu thanh khan khai bao to giac dong pham lap cong chuoc toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an an nan hoi cai tu nguyen sua chua hoac boi thuong thiet hai gay ra
article_3_clause_1_point_d,article_3_clause_1,article_3,3,1,đ,"Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;",condition_or_rule,doi voi nguoi lan dau pham toi it nghiem trong thi co the ap dung hinh phat nhe hon hinh phat tu giao ho cho co quan to chuc hoac gia dinh giam sat giao duc
article_3_clause_1_point_e,article_3_clause_1,article_3,3,1,e,"Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;",penalty_frame,doi voi nguoi bi phat tu thi buoc ho phai chap hanh hinh phat tai cac co so giam giu phai lao dong hoc tap de tro thanh nguoi co ich cho xa hoi neu ho co du dieu kien do bo luat nay quy dinh thi co the duoc xet giam thoi han chap hanh hinh phat tha tu truoc thoi han co dieu kien
article_3_clause_1_point_g,article_3_clause_1,article_3,3,1,g,"Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.",condition_or_rule,nguoi da chap hanh xong hinh phat duoc tao dieu kien lam an sinh song luong thien hoa nhap voi cong dong khi co du dieu kien do luat dinh thi duoc xoa an tich
article_3_clause_2_point_a,article_3_clause_2,article_3,3,2,a,"Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",condition_or_rule,moi hanh vi pham toi do phap nhan thuong mai thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat
article_3_clause_2_point_b,article_3_clause_2,article_3,3,2,b,"Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;",condition_or_rule,moi phap nhan thuong mai pham toi deu binh dang truoc phap luat khong phan biet hinh thuc so huu va thanh phan kinh te
article_3_clause_2_point_c,article_3_clause_2,article_3,3,2,c,"Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng;",condition_or_rule,nghiem tri phap nhan thuong mai pham toi dung thu doan tinh vi co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong
