id,article_id,article_code,point,text,normalized_text
aggravating_52_a,article_52,52,a,Phạm tội có tổ chức;,pham toi co to chuc
aggravating_52_b,article_52,52,b,Phạm tội có tính chất chuyên nghiệp;,pham toi co tinh chat chuyen nghiep
aggravating_52_c,article_52,52,c,"Lợi dụng chức vụ, quyền hạn để phạm tội;",loi dung chuc vu quyen han de pham toi
aggravating_52_d,article_52,52,d,Phạm tội có tính chất côn đồ;,pham toi co tinh chat con do
aggravating_52_đ,article_52,52,đ,Phạm tội vì động cơ đê hèn;,pham toi vi dong co de hen
aggravating_52_e,article_52,52,e,Cố tình thực hiện tội phạm đến cùng;,co tinh thuc hien toi pham den cung
aggravating_52_g,article_52,52,g,Phạm tội 02 lần trở lên;,pham toi 02 lan tro len
aggravating_52_h,article_52,52,h,Tái phạm hoặc tái phạm nguy hiểm;,tai pham hoac tai pham nguy hiem
aggravating_52_i,article_52,52,i,"Phạm tội đối với người dưới 16 tuổi, phụ nữ có thai hoặc người đủ 70 tuổi trở lên;",pham toi doi voi nguoi duoi 16 tuoi phu nu co thai hoac nguoi du 70 tuoi tro len
aggravating_52_k,article_52,52,k,"Phạm tội đối với người ở trong tình trạng không thể tự vệ được, người khuyết tật nặng hoặc khuyết tật đặc biệt nặng, người bị hạn chế khả năng nhận thức hoặc người lệ thuộc mình về mặt vật chất, tinh thần, công tác hoặc các mặt khác;",pham toi doi voi nguoi o trong tinh trang khong the tu ve duoc nguoi khuyet tat nang hoac khuyet tat dac biet nang nguoi bi han che kha nang nhan thuc hoac nguoi le thuoc minh ve mat vat chat tinh than cong tac hoac cac mat khac
aggravating_52_l,article_52,52,l,"Lợi dụng hoàn cảnh chiến tranh, tình trạng khẩn cấp, thiên tai, dịch bệnh hoặc những khó khăn đặc biệt khác của xã hội để phạm tội;",loi dung hoan canh chien tranh tinh trang khan cap thien tai dich benh hoac nhung kho khan dac biet khac cua xa hoi de pham toi
aggravating_52_m,article_52,52,m,"Dùng thủ đoạn tinh vi, xảo quyệt hoặc tàn ác để phạm tội;",dung thu doan tinh vi xao quyet hoac tan ac de pham toi
aggravating_52_n,article_52,52,n,Dùng thủ đoạn hoặc phương tiện có khả năng gây nguy hại cho nhiều người để phạm tội;,dung thu doan hoac phuong tien co kha nang gay nguy hai cho nhieu nguoi de pham toi
aggravating_52_o,article_52,52,o,Xúi giục người dưới 18 tuổi phạm tội;,xui giuc nguoi duoi 18 tuoi pham toi
aggravating_52_p,article_52,52,p,Có hành động xảo quyệt hoặc hung hãn nhằm trốn tránh hoặc che giấu tội phạm.,co hanh dong xao quyet hoac hung han nham tron tranh hoac che giau toi pham
