id,chapter_node_id,section_id,name
section_nhat_viii_1,chapter_nhat_viii,1,QUY ĐỊNH CHUNG VỀ QUYẾT ĐỊNH HÌNH PHẠT
section_nhat_viii_2,chapter_nhat_viii,2,QUYẾT ĐỊNH HÌNH PHẠT TRONG CÁC TRƯỜNG HỢP CỤ THỂ
section_nhat_xii_1,chapter_nhat_xii,1,QUY ĐỊNH CHUNG VỀ XỬ LÝ HÌNH SỰ ĐỐI VỚI
section_nhat_xii_2,chapter_nhat_xii,2,"CÁC BIỆN PHÁP GIÁM SÁT, GIÁO DỤC ÁP DỤNG TRONG"
section_nhat_xii_3,chapter_nhat_xii,3,BIỆN PHÁP TƯ PHÁP GIÁO DỤC TẠI TRƯỜNG GIÁO DƯỠNG
section_nhat_xii_4,chapter_nhat_xii,4,HÌNH PHẠT
section_nhat_xii_5,chapter_nhat_xii,5,"QUYẾT ĐỊNH HÌNH PHẠT, TỔNG HỢP HÌNH PHẠT,"
section_hai_xviii_1,chapter_hai_xviii,1,"CÁC TỘI PHẠM TRONG LĨNH VỰC SẢN XUẤT, KINH DOANH,"
section_hai_xviii_2,chapter_hai_xviii,2,"CÁC TỘI PHẠM TRONG LĨNH VỰC THUẾ, TÀI CHÍNH,"
section_hai_xviii_3,chapter_hai_xviii,3,CÁC TỘI PHẠM KHÁC XÂM PHẠM
section_hai_xxi_1,chapter_hai_xxi,1,CÁC TỘI XÂM PHẠM AN TOÀN GIAO THÔNG
section_hai_xxi_2,chapter_hai_xxi,2,"TỘI PHẠM TRONG LĨNH VỰC CÔNG NGHỆ THÔNG TIN,"
section_hai_xxi_3,chapter_hai_xxi,3,CÁC TỘI PHẠM KHÁC XÂM PHẠM AN TOÀN CÔNG CỘNG
section_hai_xxi_4,chapter_hai_xxi,4,CÁC TỘI PHẠM KHÁC XÂM PHẠM TRẬT TỰ CÔNG CỘNG
section_hai_xxiii_1,chapter_hai_xxiii,1,CÁC TỘI PHẠM THAM NHŨNG
section_hai_xxiii_2,chapter_hai_xxiii,2,CÁC TỘI PHẠM KHÁC VỀ CHỨC VỤ
