id,article_id,owner_id,owner_kind,article_code,clause_no,point,text,rule_type,priority,normalized_text
rule_article_1_clause_0,article_1,article_1_clause_0,Clause,1,,,"Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt.",body,1,bo luat hinh su co nhiem vu bao ve chu quyen quoc gia an ninh cua dat nuoc bao ve che do xa hoi chu nghia quyen con nguoi quyen cong dan bao ve quyen binh dang giua dong bao cac dan toc bao ve loi ich cua nha nuoc to chuc bao ve trat tu phap luat chong moi hanh vi pham toi giao duc moi nguoi y thuc tuan theo phap luat phong ngua va dau tranh chong toi pham bo luat nay quy dinh ve toi pham va hinh phat
rule_article_2_clause_1,article_2,article_2_clause_1,Clause,2,1,,Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.,condition_or_rule,1,chi nguoi nao pham mot toi da duoc bo luat hinh su quy dinh moi phai chiu trach nhiem hinh su
rule_article_2_clause_2,article_2,article_2_clause_2,Clause,2,2,,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.,condition_or_rule,2,chi phap nhan thuong mai nao pham mot toi da duoc quy dinh tai dieu 76 cua bo luat nay moi phai chiu trach nhiem hinh su
rule_article_3_clause_1,article_3,article_3_clause_1,Clause,3,1,,"Đối với người phạm tội: a) Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật; b) Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội; c) Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội; d) Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra; đ) Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục; e) Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện; g) Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.",penalty_frame,1,doi voi nguoi pham toi a moi hanh vi pham toi do nguoi thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat b moi nguoi pham toi deu binh dang truoc phap luat khong phan biet gioi tinh dan toc tin nguong ton giao thanh phan dia vi xa hoi c nghiem tri nguoi chu muu cam dau chi huy ngoan co chong doi con do tai pham nguy hiem loi dung chuc vu quyen han de pham toi d nghiem tri nguoi pham toi dung thu doan xao quyet co to chuc co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong khoan hong doi voi nguoi tu thu dau thu thanh khan khai bao to giac dong pham lap cong chuoc toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an an nan hoi cai tu nguyen sua chua hoac boi thuong thiet hai gay ra d doi voi nguoi lan dau pham toi it nghiem trong thi co the ap dung hinh phat nhe hon hinh phat tu giao ho cho co quan to chuc hoac gia dinh giam sat giao duc e doi voi nguoi bi phat tu thi buoc ho phai chap hanh hinh phat tai cac co so giam giu phai lao dong hoc tap de tro thanh nguoi co ich cho xa hoi neu ho co du dieu kien do bo luat nay quy dinh thi co the duoc xet giam thoi han chap hanh hinh phat tha tu truoc thoi han co dieu kien g nguoi da chap hanh xong hinh phat duoc tao dieu kien lam an sinh song luong thien hoa nhap voi cong dong khi co du dieu kien do luat dinh thi duoc xoa an tich
rule_article_3_clause_2,article_3,article_3_clause_2,Clause,3,2,,"Đối với pháp nhân thương mại phạm tội: a) Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật; b) Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế; c) Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng; d) Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",condition_or_rule,2,doi voi phap nhan thuong mai pham toi a moi hanh vi pham toi do phap nhan thuong mai thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat b moi phap nhan thuong mai pham toi deu binh dang truoc phap luat khong phan biet hinh thuc so huu va thanh phan kinh te c nghiem tri phap nhan thuong mai pham toi dung thu doan tinh vi co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong d khoan hong doi voi phap nhan thuong mai tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an tu nguyen sua chua boi thuong thiet hai gay ra chu dong ngan chan hoac khac phuc hau qua xay ra
rule_article_4_clause_1,article_4,article_4_clause_1,Clause,4,1,,"Cơ quan Công an, Viện kiểm sát nhân dân, Tòa án nhân dân và các cơ quan hữu quan khác có trách nhiệm thực hiện đầy đủ chức năng, nhiệm vụ, quyền hạn của mình, đồng thời hướng dẫn, giúp đỡ các cơ quan khác của Nhà nước, tổ chức, cá nhân phòng ngừa và đấu tranh chống tội phạm, giám sát và giáo dục người phạm tội tại cộng đồng.",condition_or_rule,1,co quan cong an vien kiem sat nhan dan toa an nhan dan va cac co quan huu quan khac co trach nhiem thuc hien day du chuc nang nhiem vu quyen han cua minh dong thoi huong dan giup do cac co quan khac cua nha nuoc to chuc ca nhan phong ngua va dau tranh chong toi pham giam sat va giao duc nguoi pham toi tai cong dong
rule_article_4_clause_2,article_4,article_4_clause_2,Clause,4,2,,"Cơ quan, tổ chức có nhiệm vụ giáo dục những người thuộc quyền quản lý của mình nâng cao cảnh giác, ý thức bảo vệ và tuân theo pháp luật, tôn trọng các quy tắc của cuộc sống xã hội chủ nghĩa; kịp thời có biện pháp loại trừ nguyên nhân và điều kiện gây ra tội phạm trong cơ quan, tổ chức của mình.",condition_or_rule,2,co quan to chuc co nhiem vu giao duc nhung nguoi thuoc quyen quan ly cua minh nang cao canh giac y thuc bao ve va tuan theo phap luat ton trong cac quy tac cua cuoc song xa hoi chu nghia kip thoi co bien phap loai tru nguyen nhan va dieu kien gay ra toi pham trong co quan to chuc cua minh
rule_article_4_clause_3,article_4,article_4_clause_3,Clause,4,3,,"Mọi công dân có nghĩa vụ tích cực tham gia phòng, chống tội phạm.",condition_or_rule,3,moi cong dan co nghia vu tich cuc tham gia phong chong toi pham
rule_article_5_clause_1,article_5,article_5_clause_1,Clause,5,1,,"Bộ luật hình sự được áp dụng đối với mọi hành vi phạm tội thực hiện trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam. Quy định này cũng được áp dụng đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển mang quốc tịch Việt Nam hoặc tại vùng đặc quyền kinh tế, thềm lục địa của Việt Nam.",condition_or_rule,1,bo luat hinh su duoc ap dung doi voi moi hanh vi pham toi thuc hien tren lanh tho nuoc cong hoa xa hoi chu nghia viet nam quy dinh nay cung duoc ap dung doi voi hanh vi pham toi hoac hau qua cua hanh vi pham toi xay ra tren tau bay tau bien mang quoc tich viet nam hoac tai vung dac quyen kinh te them luc dia cua viet nam
rule_article_5_clause_2,article_5,article_5_clause_2,Clause,5,2,,"Đối với người nước ngoài phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam thuộc đối tượng được hưởng quyền miễn trừ ngoại giao hoặc lãnh sự theo pháp luật Việt Nam, theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo tập quán quốc tế, thì vấn đề trách nhiệm hình sự của họ được giải quyết theo quy định của điều ước quốc tế hoặc theo tập quán quốc tế đó; trường hợp điều ước quốc tế đó không quy định hoặc không có tập quán quốc tế thì trách nhiệm hình sự của họ được giải quyết bằng con đường ngoại giao.",condition_or_rule,2,doi voi nguoi nuoc ngoai pham toi tren lanh tho nuoc cong hoa xa hoi chu nghia viet nam thuoc doi tuong duoc huong quyen mien tru ngoai giao hoac lanh su theo phap luat viet nam theo dieu uoc quoc te ma cong hoa xa hoi chu nghia viet nam la thanh vien hoac theo tap quan quoc te thi van de trach nhiem hinh su cua ho duoc giai quyet theo quy dinh cua dieu uoc quoc te hoac theo tap quan quoc te do truong hop dieu uoc quoc te do khong quy dinh hoac khong co tap quan quoc te thi trach nhiem hinh su cua ho duoc giai quyet bang con duong ngoai giao
