id,article_id,article_code,name,crime_group,chapter_id,status,normalized_name
crime_108,article_108,108,Tội phản bội Tổ quốc,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi phan boi to quoc
crime_109,article_109,109,Tội hoạt động nhằm lật đổ chính quyền nhân dân,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi hoat dong nham lat do chinh quyen nhan dan
crime_110,article_110,110,Tội gián điệp,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi gian diep
crime_111,article_111,111,Tội xâm phạm an ninh lãnh thổ,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi xam pham an ninh lanh tho
crime_112,article_112,112,Tội bạo loạn,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi bao loan
crime_113,article_113,113,Tội khủng bố nhằm chống chính quyền nhân dân,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi khung bo nham chong chinh quyen nhan dan
crime_114,article_114,114,Tội phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi pha hoai co so vat chat ky thuat cua nuoc cong hoa xa hoi chu nghia viet nam
crime_115,article_115,115,Tội phá hoại việc thực hiện các chính sách kinh tế - xã hội,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi pha hoai viec thuc hien cac chinh sach kinh te xa hoi
crime_116,article_116,116,Tội phá hoại chính sách đoàn kết,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi pha hoai chinh sach doan ket
crime_117,article_117,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi lam tang tru phat tan hoac tuyen truyen thong tin tai lieu vat pham nham chong nha nuoc cong hoa xa hoi chu nghia viet nam
crime_118,article_118,118,Tội phá rối an ninh,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi pha roi an ninh
crime_119,article_119,119,Tội chống phá cơ sở giam giữ,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi chong pha co so giam giu
crime_120,article_120,120,"Tội tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi to chuc cuong ep xui giuc nguoi khac tron di nuoc ngoai hoac tron o lai nuoc ngoai nham chong chinh quyen nhan dan
crime_121,article_121,121,Tội trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,chapter_hai_xiii,active,toi tron di nuoc ngoai hoac tron o lai nuoc ngoai nham chong chinh quyen nhan dan
