id,crime_id,article_id,article_code,requirement_type,text,normalized_text
subjreq_crime_108_subject_cong_dan_viet_nam_nao_cau_ket_voi_nuoc_ngoai_nham_gay_nguy_hai_cho_doc_lap_chu_quyen_thong_nhat_va_toa,crime_108,article_108,108,subject,"Công dân Việt Nam nào câu kết với nước ngoài nhằm gây nguy hại cho độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của Tổ quốc, chế độ xã hội chủ nghĩa và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, tiềm lực quốc phòng, an ninh, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình",cong dan viet nam nao cau ket voi nuoc ngoai nham gay nguy hai cho doc lap chu quyen thong nhat va toan ven lanh tho cua to quoc che do xa hoi chu nghia va nha nuoc cong hoa xa hoi chu nghia viet nam tiem luc quoc phong an ninh thi bi phat tu tu 12 nam den 20 nam tu chung than hoac tu hinh
subjreq_crime_109_subject_nguoi_nao_hoat_dong_thanh_lap_hoac_tham_gia_to_chuc_nham_lat_do_chinh_quyen_nhan_dan_thi_bi_phat_nhu_s,crime_109,article_109,109,subject,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau: 1",nguoi nao hoat dong thanh lap hoac tham gia to chuc nham lat do chinh quyen nhan dan thi bi phat nhu sau 1
subjreq_crime_110_subject_nguoi_nao_co_mot_trong_cac_hanh_vi_sau_day_thi_bi_phat_tu_tu_12_nam_den_20_nam_hoac_tu_chung_than_a_ho,crime_110,article_110,110,subject,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân: a) Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam",nguoi nao co mot trong cac hanh vi sau day thi bi phat tu tu 12 nam den 20 nam hoac tu chung than a hoat dong tinh bao pha hoai hoac gay co so de hoat dong tinh bao pha hoai chong nuoc cong hoa xa hoi chu nghia viet nam
subjreq_crime_111_subject_nguoi_nao_xam_nhap_lanh_tho_co_hanh_dong_lam_sai_lech_duong_bien_gioi_quoc_gia_hoac_co_hanh_dong_khac_,crime_111,article_111,111,subject,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau: 1",nguoi nao xam nhap lanh tho co hanh dong lam sai lech duong bien gioi quoc gia hoac co hanh dong khac nham gay phuong hai cho an ninh lanh tho cua nuoc cong hoa xa hoi chu nghia viet nam thi bi phat nhu sau 1
subjreq_crime_112_subject_nguoi_nao_hoat_dong_vu_trang_hoac_dung_bao_luc_co_to_chuc_hoac_cuop_pha_tai_san_cua_co_quan_to_chuc_ca,crime_112,article_112,112,subject,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau: 1",nguoi nao hoat dong vu trang hoac dung bao luc co to chuc hoac cuop pha tai san cua co quan to chuc ca nhan nham chong chinh quyen nhan dan thi bi phat nhu sau 1
subjreq_crime_113_subject_nguoi_nao_nham_chong_chinh_quyen_nhan_dan_ma_xam_pham_tinh_mang_cua_can_bo_cong_chuc_hoac_nguoi_khac_h,crime_113,article_113,113,subject,"Người nào nhằm chống chính quyền nhân dân mà xâm phạm tính mạng của cán bộ, công chức hoặc người khác hoặc phá hủy tài sản của cơ quan, tổ chức, cá nhân, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình",nguoi nao nham chong chinh quyen nhan dan ma xam pham tinh mang cua can bo cong chuc hoac nguoi khac hoac pha huy tai san cua co quan to chuc ca nhan thi bi phat tu tu 12 nam den 20 nam tu chung than hoac tu hinh
subjreq_crime_114_subject_nguoi_nao_nham_chong_chinh_quyen_nhan_dan_ma_pha_hoai_co_so_vat_chat_ky_thuat_cua_nuoc_cong_hoa_xa_hoi,crime_114,article_114,114,subject,"Người nào nhằm chống chính quyền nhân dân mà phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam trong các lĩnh vực chính trị, quốc phòng, an ninh, kinh tế, khoa học - kỹ thuật, văn hóa, xã hội, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân",nguoi nao nham chong chinh quyen nhan dan ma pha hoai co so vat chat ky thuat cua nuoc cong hoa xa hoi chu nghia viet nam trong cac linh vuc chinh tri quoc phong an ninh kinh te khoa hoc ky thuat van hoa xa hoi thi bi phat tu tu 12 nam den 20 nam hoac tu chung than
subjreq_crime_115_subject_nguoi_nao_nham_chong_chinh_quyen_nhan_dan_ma_pha_hoai_viec_thuc_hien_cac_chinh_sach_kinh_te_xa_hoi_thi,crime_115,article_115,115,subject,"Người nào nhằm chống chính quyền nhân dân mà phá hoại việc thực hiện các chính sách kinh tế - xã hội, thì bị phạt tù từ 07 năm đến 15 năm",nguoi nao nham chong chinh quyen nhan dan ma pha hoai viec thuc hien cac chinh sach kinh te xa hoi thi bi phat tu tu 07 nam den 15 nam
subjreq_crime_116_subject_nguoi_nao_thuc_hien_mot_trong_nhung_hanh_vi_sau_day_nham_chong_chinh_quyen_nhan_dan_thi_bi_phat_tu_tu_,crime_116,article_116,116,subject,"Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm: a) Gây chia rẽ giữa các tầng lớp nhân dân, giữa nhân dân với chính quyền nhân dân, với lực lượng vũ trang nhân dân, với các tổ chức chính trị - xã hội",nguoi nao thuc hien mot trong nhung hanh vi sau day nham chong chinh quyen nhan dan thi bi phat tu tu 07 nam den 15 nam a gay chia re giua cac tang lop nhan dan giua nhan dan voi chinh quyen nhan dan voi luc luong vu trang nhan dan voi cac to chuc chinh tri xa hoi
subjreq_crime_117_subject_nguoi_nao_co_mot_trong_nhung_hanh_vi_sau_day_nham_chong_nha_nuoc_cong_hoa_xa_hoi_chu_nghia_viet_nam_th,crime_117,article_117,117,subject,"Người nào có một trong những hành vi sau đây nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt tù từ 05 năm đến 12 năm: a) Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm có nội dung xuyên tạc, phỉ báng chính quyền nhân dân",nguoi nao co mot trong nhung hanh vi sau day nham chong nha nuoc cong hoa xa hoi chu nghia viet nam thi bi phat tu tu 05 nam den 12 nam a lam tang tru phat tan hoac tuyen truyen thong tin tai lieu vat pham co noi dung xuyen tac phi bang chinh quyen nhan dan
